date,description,amount,type,notes
2026-03-01,Westfield Commercial Properties - Rent,$3200.00,expense,
2026-03-01,Shopify Inc - Monthly Subscription,$79.00,expense,
2026-03-02,Chipotle - Team Lunch,$62.40,expense,
2026-03-03,Amazon Seller Payout - Ref AZ-90281,$18450.00,income,
2026-03-03,TechSource Distributors - INV-TS-4521,$8750.00,expense,
2026-03-04,ATM Cash Withdrawal - Petty Cash Fund,$500.00,expense,
2026-03-05,FedEx Shipping Services,$1230.45,expense,
2026-03-05,Google Ads - Campaign CPC,$650.00,expense,
2026-03-06,Central Parking LLC,$18.00,expense,
2026-03-07,eBay Managed Payments - Ref EB-44120,$5890.00,income,
2026-03-07,UPS Freight Charges,$980.00,expense,
2026-03-08,Shopify Payout - Direct Sales,$3200.00,income,
2026-03-08,Delivery Tip - Local Courier,$25.00,expense,
2026-03-09,Costco - Coffee Supplies,$34.50,expense,
2026-03-10,ADP Payroll Services - Biweekly,$15400.00,expense,
2026-03-10,Austin Energy - Electric Utility,$420.35,expense,
2026-03-11,AT&T Business Services,$189.99,expense,
2026-03-11,Uber - Client Meeting Transport,$27.80,expense,
2026-03-12,Summit Electronics Inc - INV-SE-0892,$5200.00,expense,
2026-03-12,Emergency Supplies - Hardware Store,$38.70,expense,
2026-03-13,Staples Inc,$154.60,expense,⚠️ REQUIRES_REVIEW: receipt RCP-005 shows $145.60 — $9.00 discrepancy
2026-03-14,Amazon Seller Payout - Ref AZ-90347,$15830.00,income,
2026-03-14,Meta Platforms - Advertising,$800.00,expense,
2026-03-15,State Farm Insurance - Commercial Policy,$560.00,expense,
2026-03-15,Walmart - Office Snacks,$41.20,expense,
2026-03-16,Shopify Payout - Direct Sales,$2800.00,income,
2026-03-16,Courier Gratuity - Same-Day Delivery,$15.00,expense,
2026-03-17,FedEx Shipping Services,$890.00,expense,
2026-03-18,City of Austin - Water Utility,$95.20,expense,
2026-03-18,USPS - Postage & Stamps,$22.00,expense,
2026-03-19,Pacific Components Inc - INV-PC-3310,$3400.00,expense,
2026-03-20,eBay Managed Payments - Ref EB-44298,$4760.00,income,
2026-03-20,Parking Meters - Downtown Client Visits,$8.50,expense,
2026-03-21,Intuit QuickBooks - Subscription,$45.00,expense,
2026-03-22,Amazon Seller Payout - Ref AZ-90412,$21200.00,income,
2026-03-22,Panera Bread - Team Lunch,$58.90,expense,
2026-03-23,MISC ONLINE SVC,$75.00,expense,⚠️ REQUIRES_REVIEW: vendor unidentified — no receipt or reference available
2026-03-23,Coffee Meeting - Henderson & Co.,$24.30,expense,
2026-03-24,UPS Freight Charges,$1100.00,expense,
2026-03-25,ADP Payroll Services - Biweekly,$15400.00,expense,
2026-03-25,Shopify Payout - Direct Sales,$4100.00,income,
2026-03-25,Uber - Client Site Visit,$31.50,expense,
2026-03-26,Google Ads - Campaign CPC,$720.00,expense,
2026-03-27,Office Depot - Supplies,$210.30,expense,
2026-03-27,Ace Hardware - Cable Organizers and Zip Ties,$42.15,expense,
2026-03-28,TechSource Distributors - INV-TS-4587,$6100.00,expense,
2026-03-28,Best Buy - Printer Ink,$45.60,expense,
2026-03-29,Amazon Seller Payout - Ref AZ-90503,$14340.00,income,
2026-03-30,FedEx Shipping Services,$670.00,expense,
2026-03-30,Downtown Garage - Parking,$12.00,expense,
2026-03-31,Meta Platforms - Advertising,$550.00,expense,
