Titulo,Angulo,Interes,Dificultad,Gancho,Estado
"Tu cerebro te esta mintiendo ahora mismo (y te lo demostrare en 30 segundos)","Psicología / Ilusiones y hacks corporales","5 - Extremo","Bajo","Crees que ves todo a tu alrededor tal cual es, pero si enfocas tus ojos en la marca del centro de la pantalla...","Completado (Capitulo 1)"
"El Oceano Subterraneo descubierto a 600 km bajo nuestros pies que esta filtrandose","Fenómeno natural masivo / Anomalía terrestre","5 - Extremo","Medio","Científicos descubrieron recientemente un océano entero atrapado en las profundidades de la Tierra...","Pendiente"
"12 Cosas en tu propia casa que tienen funciones ocultas (y podrias estar en peligro)","Secretos de objetos cotidianos / Curiosidades de la vida diaria","5 - Extremo","Bajo","Ese pequeño agujero en tu candado y la forma de la botella que usas a diario no son solo diseño...","Pendiente"
"Arqueologos abrieron una tumba egipcia sellada en el lodo y encontraron algo imposible","Arqueología / Misterio histórico","4 - Muy Alto","Alto","Las tumbas siempre están llenas de polvo o vacías, pero cuando este equipo atravesó una pared de barro intacta...","Pendiente"
"Una antigua estructura en la Antartida acaba de salir a la luz tras derretirse el hielo","Misterio bajo el hielo / Anomalías geográficas","4 - Muy Alto","Alto","La Antártida es un desierto congelado que supuestamente nunca estuvo habitado, pero nuevas imágenes...","Pendiente"
"El verdadero motivo por el que los aviones NUNCA vuelan sobre esta parte del oceano","Curiosidades de aviación / Geografía misteriosa","4 - Muy Alto","Medio","Hay un punto negro gigantesco en el Pacífico por el que los pilotos tienen estrictamente prohibido cruzar.","Pendiente"
"Que pasaria con tu cuerpo si estuvieras expuesto al espacio sin traje por solo 5 segundos?","Anatomía extrema / Ciencia espacial básica","3 - Alto","Medio","Si te quitaras el casco en el espacio exterior, tu cuerpo no explotaría primero, haría algo mucho más extraño...","Pendiente"
"Hallaron un Pueblo Fantasma sumergido en un crater, y las casas estan intactas","Descubrimiento geológico submarino","3 - Alto","Alto","Un lago inofensivo esconde un oscuro secreto en el fondo: un asentamiento entero donde el tiempo se detuvo.","Pendiente"
"Animales que la ciencia creia extintos hace millones de anos pero acaban de reaparecer","Biodiversidad misteriosa / Monstruos del pasado","3 - Alto","Medio","Pensábamos que desaparecieron con los dinosaurios, hasta que un pescador grabó uno nadando...","Pendiente"
"El supervolcan durmiente bajo Europa acaba de mostrar signos de actividad anormal","Desastre natural inminente / Geología europea","2 - Medio","Alto","Hay un gigante enterrado debajo de Italia, y los gases que está soltando están cambiando de color.","Pendiente"
