source,date,description,amount,type,reference,notes
bank,2026-03-01,Westfield Commercial Properties - Rent,-3200.00,debit,,
bank,2026-03-01,Shopify Inc - Monthly Subscription,-79.00,debit,,
bank,03/04/2026,ATM Cash Withdrawal,-500.00,debit,,petty cash
bank,2026-03-03,Amazon Seller Payout,18450.00,credit,AZ-90281,
bank,2026-03-03,TechSource Distributors,-8750.00,debit,INV-TS-4521,
bank,2026-03-05,FedEx Shipping Services,-1230.45,debit,TRK-789456123,
bank,March 5,Google Ads - Campaign,-650,debit,,
bank,2026-03-07,eBay Managed Payments,5890.00,credit,EB-44120,
bank,2026-03-07,UPS Freight Charges,-980.00,debit,TRK-112233445,
shopify,2026-03-08,Shopify Payout - Direct Sales,3200.00,credit,,
bank,2026-03-10,ADP Payroll Services,-15400.00,debit,,biweekly
bank,2026-03-10,Austin Energy - Electric,-420.35,debit,,
bank,2026-03-11,AT&T Business Services,-189.99,debit,,
bank,2026-03-12,Summit Electronics Inc,-5200.00,debit,INV-SE-0892,
bank,2026-03-13,Staples Inc,-154.60,debit,STR-88421,
bank,2026-03-14,Amazon Seller Payout,15830.00,credit,AZ-90347,
bank,03/14/2026,Meta Platforms - Advertising,-800.00,debit,,
bank,2026-03-15,State Farm Insurance,-560.00,debit,,commercial policy
shopify,2026-03-16,Shopify Payout - Direct Sales,2800.00,credit,,
bank,2026-03-17,FedEx Shipping Services,-890.00,debit,TRK-789456789,
bank,2026-03-18,City of Austin - Water,-95.20,debit,,
bank,2026-03-19,Pacific Components Inc,-3400.00,debit,INV-PC-3310,
bank,2026-03-20,eBay Managed Payments,4760.00,credit,EB-44298,
bank,2026-03-21,Intuit QuickBooks,-45.00,debit,,subscription
bank,2026-03-22,Amazon Seller Payout,21200.00,credit,AZ-90412,
bank,2026-03-23,MISC ONLINE SVC,-75.00,debit,,unknown charge
bank,2026-03-24,UPS Freight Charges,-1100.00,debit,TRK-556677889,
bank,2026-03-25,ADP Payroll Services,-15400.00,debit,,biweekly
shopify,Mar 25 2026,Shopify Payout - Direct Sales,4100,credit,,
bank,2026-03-26,Google Ads - Campaign,-720.00,debit,,
bank,2026-03-27,Office Depot,-210.30,debit,STR-20145,
bank,2026-03-28,TechSource Distributors,-6100.00,debit,INV-TS-4587,
bank,2026-03-29,Amazon Seller Payout,14340.00,credit,AZ-90503,
bank,2026-03-05,FedEx Shipping Services,-1230.45,debit,TRK-789456123,duplicate
bank,2026-03-30,FedEx Shipping Services,-670.00,debit,TRK-321654987,
bank,2026-03-31,Meta Platforms - Advertising,-550.00,debit,,
wallet,2026-03-02,Chipotle - Team Lunch,-62.40,debit,GCH-400215,
wallet,2026-03-06,Central Parking LLC,-18.00,debit,GCH-400278,
wallet,2026-03-09,Costco - Coffee Supplies,-34.50,debit,GCH-400312,
wallet,2026-03-11,Uber - Client Meeting,-27.80,debit,GCH-400356,
wallet,2026-03-15,Walmart - Office Snacks,-41.20,debit,GCH-400401,
wallet,03/18/2026,USPS - Postage,-22,debit,GCH-400445,
wallet,2026-03-22,Panera Bread - Team Lunch,-58.90,debit,GCH-400502,
wallet,2026-03-25,Uber - Client Site Visit,-31.50,debit,GCH-400534,
wallet,2026-03-28,Best Buy - Printer Ink,-45.60,debit,GCH-400578,
wallet,2026-03-30,Downtown Garage - Parking,-12.00,debit,GCH-400601,
cash,2026-03-08,Delivery tip - local courier,-25.00,debit,,
cash,2026-03-12,Emergency supplies - hardware store,-38.70,debit,,
cash,2026-03-16,Courier gratuity,-15.00,debit,,
cash,Mar 20,Parking meters,-8.50,debit,,
cash,2026-03-23,Coffee meeting - client,-24.30,debit,,
cash,2026-03-27,Ace Hardware - cable organizers,-42.15,debit,,
